pid|size|group4|group5
17775|44 2/3|4|1
18379|M|1|2
11781|43|4|1
17885|M ( 140-152 )|4|5
15727|XL|1|5
17219|XL|4|1
15220|XL|1|5
19243|XL ( 158-170 )|3|2
21245|42,5|4|5
16287|40|1|2
19178|42|1|5
19178|41 1/3|4|1
18162|44,5|4|1
18887|8 ( XL )|4|1
10126|44|1|5
15614|S|1|5
14715|L|4|5
18002|L|4|1
11295|L|1|2
11509|4 ( 43-45 )|3|3
10619|M|1|2
21490|S|1|2
21194|42 2/3|4|5
21306|38|4|1
16032|L|1|5
11928|L|1|5
19450|L|3|2
19659|L|1|5
21078|L|3|3
12776|S|1|2
16287|47|4|1
12552|M ( 140-152 )|4|5
14855|1 ( 140 )|1|5
19561|45,5|4|1
19225|45|4|1
14586|L|1|2
12786|2XL|3|2
10353|45 1/3|4|5
22169|44 2/3|1|2
19250|S|4|5
16449|176|1|5
16449|164|4|1
11364|39 1/3|1|2
15138|M|1|5
11317|S|1|2
14248|40,5|1|5
17557|L|1|2
16216|XL (46-50 )|4|5
20937|40|1|2
19098|XL|2|4
14218|M|1|2
19576|XL|4|1
21439|4 ( 43-45 )|4|5
16125|XL|3|2
12207|S|3|3
15029|164|1|5
21996|XL ( 158-170 )|3|2
11324|XL ( 158-170 )|1|5
17652|45 1/3|4|5
16466|M|3|2
17361|42|4|1
11600|43|4|1
12041|36,5|4|1
21194|41 1/3|4|5
20705|44,5|4|1
20705|45,5|4|1
20705|45|1|5
17401|176|1|5
15368|XL ( 158-170 )|1|5
18467|43 1/3|4|5
17856|43|4|1
21726|42|4|1
12489|L|1|5
21170|M|1|5
14408|46 2/3|1|5
22739|140|1|5
16101|S|1|5
14307|38,5|4|1
16854|38,5|3|3
11093|45 1/3|1|5
22640|164/176|4|1
11357|S|4|1
19266|XL|1|2
11600|42|4|1
12240|44|4|1
16780|43|4|1
12397|L|1|2
11026|43 1/3|4|1
22263|M|1|5
10062|XL|1|5
16954|44|1|5
17407|44|1|2
11657|43|1|5
10126|42|1|2
13986|M|3|2
15891|M|2|3
11725|42 2/3|3|2
11784|42,5|1|5
20127|L ( 42-46 )|1|5
19499|L ( 42-46 )|4|5
18481|XL|1|5
18195|XL|1|5
21634|14/16 (164-176)|1|5
17195|47 - 50|1|2
20147|43|4|1
11583|L|1|2
12359|44 2/3|4|1
19909|M|1|2
15134|44|4|1
11175|44|4|5
20166|44|4|1
17902|41 - 44|4|1
14606|XL|4|5
14606|L|1|2
20147|44|4|1
15641|4 ( 43-45 )|4|5
11971|L|3|2
16442|3 ( 41-43 )|4|1
16565|44,5|4|1
10378|S|1|2
11426|S|1|5
11957|M|1|2
10828|XL (46-50 )|1|5
17136|42|1|2
13032|102 (M)|4|5
15075|102 (M)|1|5
22717|L|3|3
14650|40,5|1|5
15310|42|1|5
10333|XS ( 30-34 )|1|5
12988|00 ( 27-30 )|1|5
10706|XS ( 116-128 )|2|3
21996|XS ( 116-128 )|3|3
20648|36,5|4|5
16627|30 (5XL)|4|1
16780|47,5|4|1
17361|39|4|1
10706|L ( 152-158 )|3|2
10706|M ( 140-152 )|3|3
20582|XL ( 158-170 )|4|1
16132|L|4|5
14482|L|1|2
10205|164|1|5
12730|44|1|5
20514|39|4|5
20536|M|4|1
10210|44,5|4|5
10258|M|4|5
11475|S|1|5
22206|L|4|1
21614|M|4|5
11877|42 2/3|1|5
22595|41|4|1
13136|XL ( 158-170 )|1|5
10230|5 ( 47-49 )|4|5
15750|5 ( 47-49 )|4|5
20683|L|2|3
20456|L ( 42-46 )|1|2
17189|42|1|5
15041|43 1/3|2|4
22169|48|3|2
22544|XL ( 158-170 )|1|5
22544|L ( 152-158 )|1|2
13198|L|3|2
18962|XL|3|2
14080|40,5|4|5
22482|44|4|5
16853|XL|1|5
12458|42,5|1|5
19245|XL|1|2
16000|L|3|3
17689|44,5|4|1
19601|42|1|5
16056|152|1|2
20970|XL|1|2
17477|L|1|2
19721|L|3|2
18467|46 2/3|1|5
20823|37,5|1|2
16709|M ( 38-42 )|1|2
17030|M|1|2
18797|L|3|2
22233|XL|4|1
12295|152|4|1
22291|164|4|1
22546|140|3|3
22780|L|4|1
18542|M|1|2
20515|43|4|1
11784|43|1|5
13474|M|1|2
17062|42,5|4|5
18126|45,5|1|5
10759|XL|3|2
15381|42 2/3|4|5
18375|S|1|5
21378|5 ( 47-49 )|1|5
21378|4 ( 43-46 )|4|5
13104|2XL|1|5
13104|XL|1|5
13104|L|4|1
13104|S|4|1
14083|M|3|2
10849|L|3|2
19853|2XL|1|5
10133|44|4|1
19368|L|1|5
12881|43|4|1
10810|M|4|1
15283|M|1|5
22367|L|3|3
19202|L|1|5
14013|M|1|5
14013|L|1|2
13860|42,5|4|1
14349|176|4|1
22413|40 2/3|4|1
17126|L ( 152-158 )|4|1
18019|L ( 152-158 )|1|5
10870|M|4|1
19164|M|4|1
15839|38,5|1|5
16436|M ( 38-42 )|1|5
21614|S|1|5
19506|XS ( 116-128 )|1|5
22618|M ( 140-152 )|3|2
18863|44,5|4|5
15134|42|4|1
16286|M ( 140-152 )|4|1
18297|XS ( 32/34 )|4|5
19351|XL|1|5
11860|XL (46-50 )|1|2
13669|2XL|4|1
15220|2XL|4|1
16797|140|1|5
20422|140|1|2
13238|S|1|5
17412|43 1/3|1|5
16982|42,5|1|5
14715|M|1|2
12575|XL|4|1
12575|S|4|1
15783|M ( 140-152 )|2|3
15527|M|3|2
11783|4 ( 43-45 )|4|1
22474|M|3|2
11234|44|4|5
11234|44 2/3|1|5
19601|43|4|5
17407|42 2/3|4|5
20540|46|4|1
14836|1 ( 34-36 )|3|3
11480|164|3|2
11877|48 2/3|3|2
15092|164|1|5
15601|41 1/3|4|1
16827|M|3|2
22722|XL ( 158-170 )|4|1
15955|36,5|4|5
14990|44|4|1
15850|XS ( 116-128 )|4|5
20685|L|4|5
22206|S|4|1
17089|L ( 152-158 )|4|1
22434|L|1|5
12717|128|1|2
15282|5 ( 43-46 )|1|5
15289|7|1|5
22676|L|3|2
22575|YLG 147,5-157,5|4|5
16854|31,5|4|1
16565|44|4|1
15520|176|3|3
11739|XL|4|5
10119|45 1/3|4|5
15298|40|1|5
19601|44|1|5
11358|42,5|4|1
11215|42|4|1
15158|2XL|2|4
14169|S|1|2
22354|42 2/3|1|5
17496|M ( 140-152 )|1|5
22434|XL|1|5
13003|40|1|2
15131|116|1|2
15369|L|3|3
21799|S|3|2
15377|L|4|5
11375|44,5|1|2
11252|164|3|2
11034|1 ( 31-34 )|4|1
14351|XS ( 116-128 )|1|5
20767|40|4|1
15030|M|4|5
11784|44,5|4|1
14275|44,5|1|5
17666|44|4|1
17666|44,5|1|5
12585|2XL|4|1
13893|1 ( Junior)|4|1
20131|L ( 152-158 )|4|5
12028|S|1|2
16732|4 ( 39-42 )|4|1
14672|44|1|5
11584|M ( 140-152 )|3|3
15095|41 1/3|1|5
17229|12 (41-45)|1|5
20381|L ( 40/42 )|1|5
10017|L|1|5
11411|L|1|5
14408|41 1/3|1|2
15322|S|4|5
12024|38,5|1|5
14138|0 ( 128 )|4|1
19456|2XL|1|5
19199|2XL|1|2
11368|2XL|1|5
16690|36|4|1
15064|XL|3|2
18749|S|1|2
10421|40,5|1|5
12825|39|4|1
18273|38,5|4|1
10849|XL|3|2
14169|L|1|2
15434|L|1|2
11075|XL|1|5
21858|S|1|5
19601|44,5|4|5
19851|XL|1|2
21799|XL|1|2
19027|S|1|5
15134|42 2/3|4|1
20154|38|1|5
22413|41 1/3|4|5
13721|XL|1|2
17405|L|1|5
12063|M|1|5
12063|S|4|5
16735|XL|3|2
16453|M|4|1
17140|43 1/3|1|2
13058|S|1|5
14651|S|1|5
20702|S|4|1
15497|S|1|5
17933|L|1|5
17933|XL|1|2
19671|44 2/3|1|5
16302|2XL|1|5
21111|2XL|4|1
11101|M|3|2
13008|S|3|2
17341|43|3|3
19479|140|3|3
15057|XL|1|5
15057|2XL|1|5
12717|140|1|2
13848|42,5|1|5
15483|44,5|4|1
21559|4 ( 39-42 )|4|1
20550|S|1|2
14523|M ( 38-42 )|1|5
10931|L ( 152-158 )|1|5
22676|S|1|2
21539|M|3|3
18623|5 ( 43-46 )|2|4
12881|44,5|4|1
10907|M ( 38/40 )|1|5
12970|10 (36-40)|4|1
15284|42,5|1|5
19962|XL|1|5
20891|38|1|5
20891|36,5|4|5
18802|XL ( 158-170 )|4|1
17132|L|4|1
17132|M|1|5
17193|L|4|5
17193|M|1|5
21465|S|1|2
10467|S|1|2
12645|XL|3|2
20970|S|1|5
22515|XL|4|1
16868|L|1|2
14990|42 2/3|4|1
20840|XL ( 158-170 )|1|5
11391|L|3|3
14789|152|1|2
18529|33|4|1
17545|L|1|5
22367|XL|3|3
12898|L|3|3
17136|43|1|5
10948|40,5|1|5
15933|XL ( 158-170 )|1|5
21591|37 1/3|4|1
20659|M|1|5
18438|S|1|5
21317|XL|4|1
10164|XS ( 116-128 )|4|1
10849|M|1|2
20237|M|3|3
11647|M|4|1
14129|42 2/3|4|5
11605|42|1|5
18568|45 1/3|4|1
19248|46|4|5
15134|44 2/3|4|5
21023|L|4|5
20705|47,5|4|1
16971|2 ( 37-40 )|4|5
16971|1 ( 33-36 )|1|5
22607|S|1|5
16051|XL|1|2
22307|L ( 152-158 )|1|5
10950|M|3|3
11257|S|4|5
21139|L|1|5
17978|41|4|1
12288|39|4|5
16101|L|1|5
20579|2XL|1|2
11514|M|3|3
20833|38,5|4|1
18630|164|4|1
19275|3|4|1
18781|3|4|1
19004|L|3|3
21591|38 2/3|4|5
21521|M|4|1
16418|M|4|1
19459|M|1|2
13758|M|1|2
17894|46 2/3|4|1
13800|M|2|3
20900|M ( 38-42 )|1|5
13261|L|4|1
19845|L|4|1
15890|S|4|1
15210|M|3|3
15121|S|1|2
22820|152|4|5
18395|S|1|2
16172|S|1|2
11340|L|1|2
18090|42,5|4|1
18161|L|1|2
13336|37,5|4|1
18392|4|1|5
20627|L|1|2
12230|47|1|2
16075|38,5|4|5
22587|41 1/3|4|5
13008|M|3|2
16309|S|1|2
21194|43 1/3|4|1
10345|42 2/3|4|1
15041|44 2/3|4|1
11600|44|1|5
20645|44|4|1
21083|45|4|5
21445|44 2/3|4|5
16197|M|4|5
11046|152|4|1
13977|S ( 128-140 )|1|5
21102|M ( 140-152 )|1|5
14084|40|3|2
13721|S|1|5
14833|S|3|2
16352|36,5|4|1
13190|42,5|4|1
13553|M|1|5
11205|L|1|5
12927|36,5|1|5
18091|XL|1|2
18481|L|1|5
15172|XL|1|5
12667|M|1|5
17705|M|1|5
10062|L|1|5
17407|42|1|5
22228|44,5|1|2
10405|152|1|5
18453|S|1|2
16372|S|4|5
18273|42|4|1
11725|44 2/3|1|2
13085|36|4|1
19813|M ( 38-42 )|3|2
15252|46 2/3|1|5
18457|S|4|1
12569|43|1|5
14112|43|4|1
17373|S|1|2
17592|S|1|2
13649|38|4|5
15381|43 1/3|4|5
19248|43 1/3|1|5
17714|45 1/3|1|5
18438|M|1|2
20025|S|1|2
13916|176|1|5
13791|42|4|1
19472|41,5|4|1
14939|M|1|2
18863|45,5|4|1
13452|45 1/3|4|5
16817|152|4|5
16257|7|4|1
20574|M|4|5
10925|L|1|5
14765|L ( 152-158 )|2|4
15097|L|1|5
18172|M|1|2
10219|XL|1|5
17214|L|1|2
15708|44|1|5
12319|M|1|5
14502|4|4|5
19280|44,5|3|3
19671|41 1/3|1|2
20052|XL|4|1
19148|XL ( 158-170 )|1|2
13986|L|3|2
19584|38|4|1
12188|40|4|1
17347|164|4|1
22574|41 1/3|1|5
20728|2 ( 37-39 )|1|2
19159|L|4|5
22063|116|4|5
21858|XL|1|5
17594|44|4|5
17219|M|3|2
19638|46|4|5
19328|45|4|5
20456|S ( 34-38 )|1|5
20408|XL|4|1
18177|L|3|3
22594|M|3|3
20555|M ( 38-42 )|4|1
17502|XL|1|2
17502|L|1|2
10670|2XL|1|5
13817|M|3|2
13817|XL|3|2
15141|2XL|1|5
17572|L ( 152-158 )|1|5
10353|44|4|1
14065|128|4|1
17960|128|4|1
20529|S|1|5
16878|44|4|1
18954|XL ( 158-170 )|1|5
14429|44,5|1|5
19752|L|1|5
12573|38,5|1|2
21369|44,5|4|1
13642|M|1|5
15099|43 1/3|1|5
20435|43 1/3|4|5
22711|XL|3|3
22317|4 ( 43-45 )|1|5
18897|164/176|4|1
14990|42|4|5
22623|M|4|5
21860|M|3|2
16398|42,5|1|5
12988|0 ( 31-33 )|4|1
13058|XL|1|5
22682|43|1|5
21495|S|1|5
20305|L ( 152-158 )|1|5
16979|164|1|5
12747|164|3|3
18203|S ( 128-140 )|4|5
15070|L|3|3
15070|M|3|3
11395|2XL|4|5
14514|XL|1|2
21749|M ( 38/40 )|3|2
18445|M ( 38/40 )|3|2
19629|M ( 38/40 )|4|1
13125|42|4|1
21490|L|1|2
14408|40 2/3|1|2
10312|40 2/3|4|5
17885|L ( 152-158 )|1|2
16812|45,5|1|2
21372|2XL|3|3
10610|140|4|5
14054|45|3|3
17714|44 2/3|1|2
14091|38,5|4|1
13785|36|4|1
19119|24 (M)|3|3
15257|44,5|1|2
12927|36|4|1
14091|41|1|5
19638|41|4|1
18051|45,5|4|5
15307|43|1|5
16556|2XL|3|3
18467|44|4|5
15762|XL|1|2
21761|S|1|2
12025|S|1|5
16621|44|3|3
12696|36 2/3|3|3
19468|36 2/3|4|1
11100|164|1|5
11725|41 1/3|1|2
15813|S|3|2
18009|M|1|2
20686|L|1|5
11299|M|1|5
17045|M|4|1
20529|2XL|1|5
11064|42|3|2
17609|XL|1|5
14650|40|4|5
12359|45 1/3|4|5
13974|XL|1|5
11725|46|3|3
12605|43|4|1
14603|S|3|3
15307|44|1|5
19668|M ( 140-152 )|1|5
18939|XL ( 158-170 )|3|2
22605|S ( 34-38 )|4|5
17313|XL|1|2
14988|XL (46-50 )|1|5
20482|XL|1|5
20401|XL|1|5
21139|M|1|5
11269|4 ( 43-45 )|3|3
19966|152|4|1
11476|S|4|1
18982|M|1|2
18228|M|1|2
15845|S|1|2
13458|140|1|2
20273|140|1|5
20540|42 2/3|4|1
16254|140/152|4|1
17578|44|4|5
22354|44 2/3|1|5
15422|XL|4|5
21520|M|4|5
11193|L|1|5
11817|45 1/3|1|2
11706|XL|3|2
14995|43|1|5
21111|L|1|2
10896|L|4|5
17856|42,5|4|1
16663|176|1|5
21802|M|4|1
21802|2XL|4|1
22170|43 1/3|1|2
20597|M|4|1
18429|7 ( L )|1|5
16971|3 ( 41-43 )|3|3
13475|164|4|1
17919|43|1|5
14367|44|4|5
11009|M|1|2
22459|M|1|5
18399|40,5|4|1
10759|S|1|2
21858|L|1|5
17022|41|4|1
13180|L|4|1
10627|42,5|4|5
13336|38,5|1|5
11738|L|4|5
18766|45,5|4|1
17375|YLG 147,5-157,5|4|1
12828|L ( 152-158 )|4|1
21779|44|4|5
10904|41|3|3
11475|XL|1|2
11955|42,5|1|2
20960|33|1|5
13477|44,5|4|5
19984|XL|1|2
19984|L|1|2
19984|M|1|5
11106|4 ( 43-45 )|3|2
18291|M|4|1
10466|45 1/3|4|5
16913|38|4|1
11035|L|1|5
21099|38 2/3|4|1
15652|S|4|1
10862|46|4|1
18399|41|4|1
19638|45,5|4|1
17799|152|4|1
18259|S|4|1
15076|140|4|1
21289|164|1|5
10439|S|3|2
22473|L ( 152-158 )|4|1
11944|38,5|4|5
19432|S|4|1
15355|M|1|5
16234|43 1/3|4|1
17894|46|1|5
11739|M|1|5
16125|2XL|1|2
13471|45,5|4|5
16232|M|3|2
15561|42,5|4|1
11393|164|4|1
19841|L|3|3
15565|L|4|1
14131|M|3|2
16797|176|1|5
11321|XL|4|1
20748|2XL|1|2
18982|2XL|1|5
13079|XL|1|2
22054|41|1|5
22377|44|4|1
15300|45 1/3|1|5
12250|45|1|5
15190|L|3|3
20185|L|1|5
15709|176|1|5
17050|2XL|1|2
11101|XL|3|2
19703|S|1|5
11607|S|1|2
13916|128|1|5
10575|42 2/3|4|5
16357|M|3|2
11600|45,5|4|1
14210|46 2/3|4|1
13058|M|1|5
13085|36,5|4|1
21886|44|1|5
17409|43|4|1
21769|42,5|4|5
13224|M|1|5
19581|XL ( 158-170 )|1|5
17218|S|4|5
19750|46|1|2
11738|M|1|2
11026|45 1/3|1|5
14111|L ( 152-158 )|1|5
12558|L|1|5
10164|L ( 152-158 )|1|5
18785|XL|3|2
22150|XL ( 158-170 )|4|1
13705|42 2/3|4|1
17477|M|3|2
17477|S|3|2
17477|XL|1|2
15277|47,5|4|1
16687|152|1|5
19271|152|4|1
19987|42,5|4|1
13269|45 - 47|1|5
20802|42|1|5
15608|XL|3|2
15422|M|1|5
15099|42 2/3|3|2
16287|46|4|1
16812|44|1|5
16812|43|1|5
22669|L|1|5
13372|M|1|5
15944|L|3|3
15813|2XL|3|2
13320|45|4|1
13238|L|1|5
11110|44,5|4|5
12984|35 - 38|1|2
19225|47,5|4|1
11215|44|4|1
19671|45 1/3|4|1
12288|42|4|1
14496|39/42|4|5
22707|M|3|3
11472|5 ( 46-48 )|3|2
14659|XL (46-50 )|1|5
19837|M|1|5
13313|M|1|5
11037|M|4|1
11037|L|1|5
19537|S|1|5
10627|44|1|2
11580|M|1|5
15583|S|1|5
20359|S|1|2
13572|40,5|1|5
14482|XL|1|2
20236|43|1|5
19887|43|1|5
11411|S|1|5
10794|S ( 128-140 )|1|5
17489|L|1|5
17489|M|1|5
14789|164|1|5
14045|42 2/3|4|5
19887|44|1|5
19264|L|3|3
15019|L|1|5
11768|L|1|2
20111|L|1|2
18477|176|1|2
15119|2 ( 37-39 )|4|5
10748|2 ( 37-39 )|1|5
16349|L|1|2
16349|XL|3|2
16349|M|1|5
17407|43 1/3|1|2
15447|45 1/3|1|2
11817|41 1/3|1|2
19264|S|3|2
10973|L|4|1
10973|M|4|1
10063|L|4|5
18373|L|4|5
19004|2XL|2|3
19004|XL|3|3
16923|L|1|5
16923|M|1|5
16923|2XL|1|5
16923|XL|3|2
17045|L|1|5
16132|XL|1|5
14906|36,5|4|5
10306|XL (46-50 )|1|2
12881|45|4|1
13676|S|3|2
12373|L|3|3
21626|4 ( 43-45 )|1|5
11064|47|4|1
13441|2XL|1|5
19380|42,5|1|2
21761|L|3|2
15273|42|4|5
16902|M|1|2
16976|2XL|1|5
22607|L|1|2
19351|2XL|1|5
11364|43 1/3|1|5
18185|41|1|5
19638|43|4|5
14669|M|4|5
17494|L|3|3
21669|45 1/3|4|5
19905|XL|1|5
19905|M|1|5
19905|L|1|5
22085|M|3|2
20053|S|1|5
20392|S|4|5
13242|M|1|5
14821|M|1|5
10760|43 1/3|1|5
15879|34|4|5
16560|44|4|1
11472|0 ( 31-33 )|4|1
20207|176|4|1
12675|S|1|2
12675|XL|1|5
18143|XL|3|3
11793|44|4|5
21918|M|1|2
15219|176|1|5
16287|41|3|3
19860|L|4|5
17361|42,5|4|1
22169|42 2/3|3|2
12056|M|1|2
19089|45 1/3|1|5
11781|45|4|5
16733|44 2/3|4|1
14080|44,5|1|5
17770|M ( 140-152 )|1|2
11669|3XL|3|2
12859|42|1|5
16302|XL|1|2
22019|42|4|1
15030|S|1|5
15591|176|4|1
16423|M|3|3
14781|M|4|1
17140|41 1/3|1|2
14479|44,5|4|5
18155|38|3|2
20683|S|3|2
13381|S|1|2
21685|40|1|5
13800|2XL|3|3
13800|XL|3|2
13800|L|3|3
17714|42 2/3|1|2
12569|42,5|1|5
12463|S|1|5
11257|L|4|1
18015|S|3|3
18301|L|3|3
11572|S|3|3
10525|M|3|2
15434|S|4|1
19322|M|4|5
17103|152|4|5
22625|L ( 152-158 )|1|5
21895|10 (36-40)|1|5
11809|XL|1|2
17666|46|1|5
16621|45|1|5
16621|44,5|1|5
12217|44|4|1
11932|44|4|1
10131|152|1|5
17240|XL|1|5
21133|43|4|5
20902|L|4|1
14479|40,5|4|1
12704|42|1|5
21918|S|1|5
11778|S|1|5
13499|S|4|1
14406|44,5|4|1
20154|36|1|5
18852|L ( 42-46 )|3|3
14523|S ( 34-38 )|4|1
22268|42 2/3|1|2
20659|L|1|5
21114|2XL|1|5
22667|39|1|5
12569|44|4|1
11955|44|1|5
22540|41 - 44|4|1
14944|S|2|3
17131|L ( 40/42 )|1|5
11110|44|4|1
21415|40|1|5
20164|4 ( 39-42 )|4|1
15242|1 ( 25-30 )|4|1
15465|176|4|1
17893|45 1/3|4|1
22340|XL ( 158-170 )|3|2
13316|40,5|3|2
11637|S ( 34-38 )|4|1
19909|L|1|5
20728|5 ( 46-48 )|1|2
10575|47 1/3|4|1
14091|39|4|1
20574|L|4|1
12264|S|3|2
12756|L|3|2
12756|XL|1|5
22823|M|1|5
15879|38|1|5
20536|S|4|1
12903|M|4|1
12698|44|1|2
15752|45,5|1|5
10603|45,5|1|5
21415|45 1/3|1|5
21068|5 ( 46-48 )|2|4
22054|45,5|1|5
20705|40|4|5
20705|39|1|5
11651|44 2/3|4|5
19288|2XL|1|5
17046|2 ( 37-39 )|3|2
14101|140|3|3
11565|47 1/3|4|1
14248|42,5|1|5
18296|164/176|1|5
22597|40 2/3|4|1
22869|47,5|1|5
13540|L|4|1
10635|L|4|5
21539|L|3|3
15049|M|1|5
17537|L|3|3
11657|42,5|4|5
17820|S|4|1
16396|XL|1|5
16396|L|1|5
18982|S|3|2
19885|M|3|2
13816|L ( 42-46 )|1|5
10064|41 1/3|4|1
14919|38|1|5
15590|44|4|5
21692|S|4|5
15368|S ( 128-140 )|1|5
17989|L|1|2
11395|XL|4|1
13585|M|3|3
12860|4 ( 43-45 )|4|5
13528|4 ( 43-45 )|4|1
20221|XL|4|5
19318|44|4|5
17628|42,5|4|1
20946|M|1|5
16780|46|1|5
10794|XS ( 116-128 )|4|5
19983|L|1|5
11299|L|1|5
14995|46|1|5
13334|39|4|5
11877|44 2/3|1|5
11725|43 1/3|1|2
19895|L|3|2
19895|XL|1|2
16184|2 ( Senior )|4|1
16817|128|4|1
17136|42,5|1|5
11480|128|1|5
12359|42 2/3|4|1
15652|M|1|5
21078|S|3|3
12714|L ( 152-158 )|3|2
20866|M|3|2
13696|2 ( Senior )|4|1
13499|M|4|1
19916|M|4|1
14845|42,5|4|1
15915|S|1|5
17925|M|4|1
18016|S|1|5
11730|164|4|1
17633|45,5|4|5
13452|40 2/3|4|5
14057|40,5|4|1
16943|40|1|5
12430|M|4|1
19659|M|4|1
12573|38|4|5
19325|38|1|5
14854|L ( 42-46 )|4|1
13553|S|4|1
16565|43|4|1
12696|34|4|1
17687|M|1|5
22244|XL|1|5
14995|44|4|5
14995|45|1|5
17494|2XL|4|5
17494|XL|1|2
14669|XL|1|2
14995|47|1|5
14238|39|1|5
14995|45,5|4|1
11317|2XL|3|2
22628|L|1|5
20073|152|4|5
18185|40|4|1
19280|43|2|4
12143|S|3|3
14995|42,5|1|5
20622|L|1|5
10904|43|1|5
15252|41 1/3|4|1
16352|34|4|1
15071|45|4|5
18807|45|4|5
13891|4 ( 39-42 )|4|5
19814|38|4|1
19814|38,5|4|1
12041|38|1|5
14672|44 2/3|1|5
10312|46|1|5
12569|41|4|5
22203|45|4|1
18467|46|4|5
14995|44,5|4|5
14995|41|1|2
15187|M|3|3
12704|44|1|5
12352|43 1/3|1|5
15669|XL ( 158-170 )|3|2
21444|L ( 152-158 )|3|2
11093|39 1/3|4|5
17666|41|1|5
10785|M|1|5
17288|M|4|1
22856|M|4|1
16309|XL|3|2
14091|40,5|1|5
21487|L|1|2
21487|M|1|5
14995|42|1|5
15837|38|4|1
17709|42,5|1|2
19013|S|1|2
14514|S|1|2
16812|42,5|1|5
13242|L|3|3
19479|128|1|2
20689|S|4|1
13003|40,5|4|5
11273|43|1|5
19368|M|1|2
17302|S|1|2
16812|42|1|5
20786|L|1|2
11822|L ( 152-158 )|4|1
11480|152|1|5
19115|45|4|1
10857|M|1|2
19853|M|1|5
14692|M|1|5
18382|45|1|5
14408|40|3|3
20686|S|1|2
20960|38|4|5
13758|S|1|2
19750|44 2/3|1|5
16393|46|1|5
16287|45,5|4|5
22054|44,5|4|5
14510|M|1|5
12824|42 2/3|4|5
20467|36|4|1
17639|36|4|1
22524|XL|1|2
16812|41|1|2
12537|42,5|1|5
21876|43|1|5
11725|44|3|2
13515||1|5
13112|M ( 140-152 )|3|2
12914|M|4|5
14895|M|4|5
12703|41 1/3|1|2
16226|44 2/3|4|1
18255|4 ( 39-42 )|1|5
14091|42|2|3
11463|35,5|1|5
19630|41|1|2
16786|40|4|5
20380|XL|4|1
11955|42|4|5
19013|XL|3|2
16932|M|1|2
11572|M|3|3
13301|M|4|5
19887|42|1|5
17407|44 2/3|1|2
21313|M|1|5
20244|164|4|1
19821|4|4|1
18688|44 2/3|4|1
15132|4 ( 39-42 )|1|5
11224|47|4|1
10675|L|4|5
22197|M|4|1
21669|43 1/3|1|5
21849|41|1|2
16366|40|1|5
17019|L|3|2
21317|L|1|5
18467|42 2/3|1|5
15041|46|1|5
15018|XL|4|5
15757|XL ( 158-170 )|1|2
11622|41|3|3
14089|M|1|5
11187|M|3|3
16019|38 2/3|4|1
15483|45,5|4|1
21886|42,5|3|2
14590|S|4|1
12420|M ( 38/40 )|4|1
16011|38|4|1
20946|XL|4|5
20946|L|1|5
11941|164|4|5
21332|47|4|1
18766|46|4|1
12780|164|4|5
11955|41|1|5
15830|M|1|5
17744|38,5|3|3
20540|44 2/3|1|5
19983|XL|4|5
13316|47|4|1
11826|2XL|4|1
17639|38|4|1
11911|152|1|5
14210|41 1/3|4|5
12093|42|1|5
16690|35|4|1
13795|L ( 152-158 )|1|5
12407|176|3|2
10912|XL|3|2
22207|M|1|5
14210|42|4|1
13189|XL ( 158-170 )|1|2
10339|44|1|5
16309|L|1|2
13474|S|1|2
14669|S|4|5
13817|S|3|2
22881|S|1|2
15482|128|1|5
17195|39 - 42|1|2
18509|M/L|4|1
13534|2 ( Senior )|1|2
19704|36 2/3|1|5
22869|46|4|1
17432|38,5|4|1
11826|XS|4|1
15915|XL|1|5
11630|44,5|3|3
22223|L|1|2
22869|45|4|5
17136|44,5|4|5
19264|M|3|3
17679|41|1|2
17534|45|4|1
12183|3XL|4|1
18184|XS|1|2
19885|L|1|2
22263|L|3|3
13185|XL|4|5
13185|2XL|4|1
13185|L|1|5
11784|42|4|1
18308|47 - 50|1|5
16275|42,5|1|5
16978|4 ( 39-42 )|1|5
15642|1 ( Junior)|3|2
10418|41 - 44|4|1
17714|43 1/3|3|2
17175|42|4|1
19422|42|4|1
20476|42,5|4|1
21588|M|1|5
18471|S|3|2
16449|140|1|5
15307|42|1|2
21357|45|4|1
10627|43|1|5
20914|S|1|5
15958|44,5|4|1
19864|36 2/3|1|5
11064|46|4|5
19696|38|1|5
14793|2XL|1|5
18819|L|1|5
15497|M|1|2
13390|44|4|1
17578|45 1/3|1|5
17009|L|3|2
21194|44|1|5
14827|47|1|2
19247|M|4|1
10575|43 1/3|4|1
17214|M|3|2
21925|12 (41-45)|4|5
17856|44,5|4|5
10137|37 1/3|4|5
20390|2XL|1|5
19063|M|1|5
11078|44|1|5
22869|42|4|1
12189|L|1|2
10635|M|1|5
10469|41|3|3
20497|XL|1|2
22420|XL|1|5
22420|2XL|4|5
20766|45 1/3|1|5
13485|0 ( 31-33 )|4|1
15709|164|3|2
10771|164|1|5
16804|XL|3|2
19661|XL|4|5
18467|44 2/3|1|5
18467|45 1/3|1|5
16690|38,5|1|5
22869|47|4|1
20401|M|1|5
12653|2XL|1|5
21083|40,5|4|1
10707|XL|4|5
10707|L|1|5
10707|M|1|5
10707|S|4|1
12236|S|1|5
12360|XL|4|5
21151|L|4|5
13136|S ( 128-140 )|1|5
10164|S ( 128-140 )|1|5
15845|XL|1|2
22366|M|4|5
17403|S|1|2
