"","pid","size","comp.clust.trans"
"1153","22711","L",2
"1154","22711","M",3
"1155","22717","M",2
"1156","22758","L",2
"1157","22758","S",5
"1158","22758","XL",5
"1159","22760","M",3
"1160","22823","L",5
"1161","22823","M",2
"1162","22842","2XL",3
"1163","22842","L",8
"1164","22842","M",5
"1165","22842","S",7
"1166","22842","XL",1
