ps|all|Cluster_5|Cluster_9|remain5|remain9
12696 - 38|4|1|1|0.75|0.75
12696 - 38 2/3|4|1|1|0.75|0.75
12698 - 40,5|6|1|1|0.833333333333333|0.833333333333333
12698 - 41|10|3|11|0.7|-0.1
12698 - 42|14|1|1|0.928571428571429|0.928571428571429
12698 - 42,5|5|1|1|0.8|0.8
12698 - 43|18|1|1|0.944444444444444|0.944444444444444
12698 - 44|17|1|1|0.941176470588235|0.941176470588235
12698 - 44,5|15|1|1|0.933333333333333|0.933333333333333
12698 - 45|9|1|2|0.888888888888889|0.777777777777778
12698 - 45,5|14|1|3|0.928571428571429|0.785714285714286
12698 - 46|8|1|1|0.875|0.875
12698 - 47|4|1|1|0.75|0.75
12703 - 39 1/3|5|1|1|0.8|0.8
12703 - 40|10|1|1|0.9|0.9
12703 - 40 2/3|9|1|1|0.888888888888889|0.888888888888889
12703 - 41 1/3|29|1|1|0.96551724137931|0.96551724137931
12703 - 42|49|1|1|0.979591836734694|0.979591836734694
12703 - 42 2/3|54|1|1|0.981481481481482|0.981481481481482
12703 - 43 1/3|66|1|1|0.984848484848485|0.984848484848485
12703 - 44|47|1|1|0.978723404255319|0.978723404255319
12703 - 44 2/3|62|1|1|0.983870967741935|0.983870967741935
12703 - 45 1/3|39|1|1|0.974358974358974|0.974358974358974
12703 - 46|32|1|1|0.96875|0.96875
12703 - 46 2/3|22|1|1|0.954545454545455|0.954545454545455
12703 - 47 1/3|15|1|1|0.933333333333333|0.933333333333333
12703 - 48|9|1|1|0.888888888888889|0.888888888888889
12703 - 48 2/3|10|1|1|0.9|0.9
12704 - 42|12|1|1|0.916666666666667|0.916666666666667
12704 - 43|13|1|1|0.923076923076923|0.923076923076923
12704 - 44|10|1|1|0.9|0.9
12704 - 44,5|10|1|1|0.9|0.9
12714 - L ( 152-158 )|13|1|1|0.923076923076923|0.923076923076923
12717 - 128|14|1|1|0.928571428571429|0.928571428571429
12717 - 140|18|1|1|0.944444444444444|0.944444444444444
12717 - 152|33|1|1|0.96969696969697|0.96969696969697
12717 - 164|42|1|1|0.976190476190476|0.976190476190476
12720 - 2XL|38|1|1|0.973684210526316|0.973684210526316
12720 - L|100|123|70|-0.23|0.3
12720 - M|65|123|123|-0.892307692307692|-0.892307692307692
12720 - S|45|123|123|-1.73333333333333|-1.73333333333333
12720 - XL|69|1|1|0.985507246376812|0.985507246376812
12721 - 38|4|1|1|0.75|0.75
12726 - 43/46|7|1|1|0.857142857142857|0.857142857142857
12730 - 41|4|1|1|0.75|0.75
12730 - 44|7|1|1|0.857142857142857|0.857142857142857
12734 - L|5|1|1|0.8|0.8
12734 - S|5|1|1|0.8|0.8
12746 - L|10|1|1|0.9|0.9
12746 - M|7|1|1|0.857142857142857|0.857142857142857
12746 - S|7|1|1|0.857142857142857|0.857142857142857
12747 - 164|8|1|1|0.875|0.875
12747 - 176|6|1|1|0.833333333333333|0.833333333333333
12755 - 38|36|1|1|0.972222222222222|0.972222222222222
12756 - L|5|1|1|0.8|0.8
12756 - M|8|1|1|0.875|0.875
12765 - 128|21|1|1|0.952380952380952|0.952380952380952
12765 - 140|21|1|1|0.952380952380952|0.952380952380952
12765 - 176|63|1|1|0.984126984126984|0.984126984126984
12771 - L|34|1|1|0.970588235294118|0.970588235294118
12771 - M|30|1|1|0.966666666666667|0.966666666666667
12771 - XL|18|1|1|0.944444444444444|0.944444444444444
12776 - S|9|1|1|0.888888888888889|0.888888888888889
12780 - 152|5|1|1|0.8|0.8
12780 - 176|5|1|1|0.8|0.8
12782 - XL ( 158-170 )|5|1|1|0.8|0.8
12785 - L|9|1|1|0.888888888888889|0.888888888888889
12786 - 2XL|9|1|1|0.888888888888889|0.888888888888889
12786 - L|40|1|1|0.975|0.975
12786 - M|40|1|1|0.975|0.975
12786 - S|16|1|1|0.9375|0.9375
12786 - XL|26|1|1|0.961538461538462|0.961538461538462
12789 - L ( 42-46 )|34|1|1|0.970588235294118|0.970588235294118
12789 - M ( 38-42 )|21|1|1|0.952380952380952|0.952380952380952
12795 - L|9|1|1|0.888888888888889|0.888888888888889
12795 - M|10|1|1|0.9|0.9
12800 - 41|12|1|1|0.916666666666667|0.916666666666667
12800 - 43|23|1|1|0.956521739130435|0.956521739130435
12800 - 44|22|1|1|0.954545454545455|0.954545454545455
12800 - 45|14|1|1|0.928571428571429|0.928571428571429
12809 - 38|4|1|1|0.75|0.75
12816 - 46 2/3|5|1|1|0.8|0.8
12818 - L|7|1|1|0.857142857142857|0.857142857142857
12818 - XL|7|1|1|0.857142857142857|0.857142857142857
12824 - 40|4|1|1|0.75|0.75
12824 - 43 1/3|9|1|1|0.888888888888889|0.888888888888889
12824 - 44|5|1|1|0.8|0.8
12839 - 4 ( 43-45 )|6|1|1|0.833333333333333|0.833333333333333
12841 - L|34|1|1|0.970588235294118|0.970588235294118
12844 - 2 ( 37-39 )|5|1|1|0.8|0.8
12844 - 3 ( 40-42 )|11|1|1|0.909090909090909|0.909090909090909
12844 - 4 ( 43-45 )|28|1|1|0.964285714285714|0.964285714285714
12844 - 5 ( 46-48 )|9|1|1|0.888888888888889|0.888888888888889
12846 - 41 1/3|5|3|2|0.4|0.6
12846 - 42|6|3|3|0.5|0.5
12846 - 42 2/3|15|3|2|0.8|0.866666666666667
12846 - 43 1/3|9|3|2|0.666666666666667|0.777777777777778
12846 - 44|7|3|2|0.571428571428571|0.714285714285714
12846 - 44 2/3|15|3|2|0.8|0.866666666666667
12846 - 45 1/3|9|3|2|0.666666666666667|0.777777777777778
12846 - 46|6|3|3|0.5|0.5
12852 - L|10|1|1|0.9|0.9
12859 - 40 2/3|5|3|3|0.4|0.4
12859 - 42 2/3|6|3|3|0.5|0.5
12859 - 43 1/3|10|1|2|0.9|0.8
12859 - 44 2/3|8|3|2|0.625|0.75
12860 - 4 ( 43-45 )|8|1|1|0.875|0.875
12861 - L ( 42-46 )|77|1|1|0.987012987012987|0.987012987012987
12861 - M ( 38-42 )|64|1|1|0.984375|0.984375
12861 - S ( 34-38 )|29|1|1|0.96551724137931|0.96551724137931
12861 - XL (46-50 )|15|1|1|0.933333333333333|0.933333333333333
12870 - XS ( 32/34 )|4|1|1|0.75|0.75
12872 - 44,5|4|1|1|0.75|0.75
12872 - 47|8|1|1|0.875|0.875
12873 - 42|7|1|1|0.857142857142857|0.857142857142857
12873 - 42 2/3|6|1|1|0.833333333333333|0.833333333333333
12881 - 46|4|1|1|0.75|0.75
12884 - M ( 140-152 )|5|1|1|0.8|0.8
12884 - XL ( 158-170 )|7|1|1|0.857142857142857|0.857142857142857
12894 - 43|14|1|1|0.928571428571429|0.928571428571429
12896 - 2XL|8|1|1|0.875|0.875
12896 - L|47|1|1|0.978723404255319|0.978723404255319
12896 - M|60|1|1|0.983333333333333|0.983333333333333
12896 - XL|16|1|1|0.9375|0.9375
12898 - L|5|1|1|0.8|0.8
12901 - L|16|1|1|0.9375|0.9375
12901 - M|21|1|1|0.952380952380952|0.952380952380952
12901 - S|7|1|1|0.857142857142857|0.857142857142857
12901 - XL|6|1|1|0.833333333333333|0.833333333333333
12914 - L|4|1|1|0.75|0.75
12914 - M|4|1|1|0.75|0.75
12916 - 5 ( 43-46 )|7|1|1|0.857142857142857|0.857142857142857
12918 - L|122|1|1|0.991803278688525|0.991803278688525
12918 - S|76|1|1|0.986842105263158|0.986842105263158
12918 - XL|99|1|1|0.98989898989899|0.98989898989899
12919 - L ( 152-158 )|16|1|1|0.9375|0.9375
12919 - M ( 140-152 )|8|1|1|0.875|0.875
12919 - S ( 128-140 )|4|1|1|0.75|0.75
12919 - XL ( 158-170 )|36|1|1|0.972222222222222|0.972222222222222
12922 - 38|7|1|1|0.857142857142857|0.857142857142857
12927 - 36,5|11|1|1|0.909090909090909|0.909090909090909
12927 - 37,5|11|1|1|0.909090909090909|0.909090909090909
12927 - 38,5|11|1|1|0.909090909090909|0.909090909090909
12935 - 4 ( 39-42 )|7|1|1|0.857142857142857|0.857142857142857
12937 - 4 ( 43-45 )|9|1|1|0.888888888888889|0.888888888888889
12948 - L|7|1|1|0.857142857142857|0.857142857142857
12952 - L ( 152-158 )|23|1|1|0.956521739130435|0.956521739130435
12952 - M ( 140-152 )|15|1|1|0.933333333333333|0.933333333333333
12952 - S ( 128-140 )|6|1|1|0.833333333333333|0.833333333333333
12952 - XL ( 158-170 )|27|1|1|0.962962962962963|0.962962962962963
12954 - 41 - 44|5|1|1|0.8|0.8
12962 - L ( 152-158 )|8|1|1|0.875|0.875
12962 - S ( 128-140 )|6|1|1|0.833333333333333|0.833333333333333
12974 - L|16|1|1|0.9375|0.9375
12974 - M|11|1|1|0.909090909090909|0.909090909090909
12975 - 42|4|1|1|0.75|0.75
12975 - 44|8|1|1|0.875|0.875
12984 - 35 - 38|15|1|1|0.933333333333333|0.933333333333333
12984 - 39 - 42|47|1|1|0.978723404255319|0.978723404255319
12984 - 43 - 46|55|1|1|0.981818181818182|0.981818181818182
12985 - 2XL|75|1|1|0.986666666666667|0.986666666666667
12985 - L|123|123|123|0|0
12985 - S|33|1|1|0.96969696969697|0.96969696969697
12985 - XL|89|1|1|0.98876404494382|0.98876404494382
12985 - XS|30|1|1|0.966666666666667|0.966666666666667
12988 - 0 ( 31-33 )|13|1|1|0.923076923076923|0.923076923076923
12988 - 00 ( 27-30 )|20|1|1|0.95|0.95
12988 - 1 ( 34-36 )|33|1|1|0.96969696969697|0.96969696969697
12988 - 2 ( 37-39 )|63|1|1|0.984126984126984|0.984126984126984
12988 - 3 ( 40-42 )|98|29|123|0.704081632653061|-0.255102040816327
12988 - 4 ( 43-45 )|113|123|123|-0.0884955752212389|-0.0884955752212389
12988 - 5 ( 46-48 )|87|1|3|0.988505747126437|0.96551724137931
12992 - M|14|1|1|0.928571428571429|0.928571428571429
12999 - 2XL|9|1|1|0.888888888888889|0.888888888888889
12999 - L|37|1|1|0.972972972972973|0.972972972972973
12999 - M|38|1|1|0.973684210526316|0.973684210526316
12999 - S|11|1|1|0.909090909090909|0.909090909090909
12999 - XL|25|1|1|0.96|0.96
13003 - 40|4|1|2|0.75|0.5
13003 - 41|6|1|1|0.833333333333333|0.833333333333333
13003 - 42|11|1|3|0.909090909090909|0.727272727272727
13003 - 42,5|18|1|3|0.944444444444444|0.833333333333333
13003 - 43|22|1|3|0.954545454545455|0.863636363636364
13003 - 44|19|2|3|0.894736842105263|0.842105263157895
13003 - 44,5|14|1|1|0.928571428571429|0.928571428571429
13003 - 45|11|1|1|0.909090909090909|0.909090909090909
13003 - 45,5|6|1|1|0.833333333333333|0.833333333333333
13003 - 46|12|1|1|0.916666666666667|0.916666666666667
13008 - 2XL|40|1|1|0.975|0.975
13008 - L|90|1|6|0.988888888888889|0.933333333333333
13008 - M|91|123|123|-0.351648351648352|-0.351648351648352
13008 - S|68|1|1|0.985294117647059|0.985294117647059
13008 - XL|67|1|15|0.985074626865672|0.776119402985075
13011 - L|8|1|1|0.875|0.875
13011 - M|9|1|1|0.888888888888889|0.888888888888889
13031 - L ( 40/42 )|11|1|1|0.909090909090909|0.909090909090909
13031 - M ( 38/40 )|7|1|1|0.857142857142857|0.857142857142857
13031 - XS ( 32/34 )|5|1|1|0.8|0.8
13036 - L|39|1|1|0.974358974358974|0.974358974358974
13036 - XL|8|1|1|0.875|0.875
13038 - 38 2/3|5|1|1|0.8|0.8
13048 - L|8|1|1|0.875|0.875
13058 - L|19|1|1|0.947368421052632|0.947368421052632
13058 - M|20|1|1|0.95|0.95
13058 - S|12|1|1|0.916666666666667|0.916666666666667
13058 - XL|7|1|1|0.857142857142857|0.857142857142857
13064 - S|13|1|1|0.923076923076923|0.923076923076923
13069 - 140|28|1|1|0.964285714285714|0.964285714285714
13069 - 164|53|1|1|0.981132075471698|0.981132075471698
13072 - 44|13|1|1|0.923076923076923|0.923076923076923
13072 - 44 2/3|14|1|1|0.928571428571429|0.928571428571429
13072 - 45 1/3|10|1|1|0.9|0.9
13072 - 46|14|1|1|0.928571428571429|0.928571428571429
13076 - 41 1/3|5|1|1|0.8|0.8
13076 - 42|4|1|1|0.75|0.75
13076 - 42 2/3|9|1|1|0.888888888888889|0.888888888888889
13076 - 43 1/3|10|1|1|0.9|0.9
13076 - 44|5|1|1|0.8|0.8
13076 - 44 2/3|5|1|1|0.8|0.8
13076 - 45 1/3|9|1|1|0.888888888888889|0.888888888888889
13076 - 46|5|1|1|0.8|0.8
13079 - XL|10|1|1|0.9|0.9
13082 - L|4|1|1|0.75|0.75
13083 - 152|4|1|1|0.75|0.75
13083 - 164|7|1|1|0.857142857142857|0.857142857142857
13085 - 32|4|1|1|0.75|0.75
13085 - 35|4|1|1|0.75|0.75
13085 - 38,5|7|1|1|0.857142857142857|0.857142857142857
13086 - XL ( 158-170 )|24|1|1|0.958333333333333|0.958333333333333
13087 - L|8|1|1|0.875|0.875
13087 - M|8|1|1|0.875|0.875
13093 - 140|9|1|1|0.888888888888889|0.888888888888889
13093 - 152|12|1|1|0.916666666666667|0.916666666666667
13093 - 164|23|1|1|0.956521739130435|0.956521739130435
13100 - M|5|1|1|0.8|0.8
13104 - L|5|1|1|0.8|0.8
13104 - XL|4|1|1|0.75|0.75
13109 - 14/16 (164-176)|6|1|1|0.833333333333333|0.833333333333333
13112 - L ( 152-158 )|25|1|1|0.96|0.96
13112 - M ( 140-152 )|14|1|1|0.928571428571429|0.928571428571429
13112 - S ( 128-140 )|11|1|1|0.909090909090909|0.909090909090909
13112 - XL ( 158-170 )|49|1|1|0.979591836734694|0.979591836734694
13117 - L ( 152-158 )|6|1|1|0.833333333333333|0.833333333333333
13117 - M ( 140-152 )|6|1|1|0.833333333333333|0.833333333333333
13117 - XL ( 158-170 )|4|1|1|0.75|0.75
13124 - 3 ( 40-42 )|6|1|1|0.833333333333333|0.833333333333333
13124 - 4 ( 43-45 )|9|1|1|0.888888888888889|0.888888888888889
13136 - L ( 152-158 )|21|1|1|0.952380952380952|0.952380952380952
13136 - M ( 140-152 )|13|1|1|0.923076923076923|0.923076923076923
13136 - S ( 128-140 )|7|1|1|0.857142857142857|0.857142857142857
13136 - XL ( 158-170 )|27|1|1|0.962962962962963|0.962962962962963
13136 - XS ( 116-128 )|4|1|1|0.75|0.75
13137 - S ( 34/36 )|5|1|1|0.8|0.8
13147 - 38 2/3|5|1|1|0.8|0.8
13183 - L ( 42-46 )|113|3|1|0.973451327433628|0.991150442477876
13183 - M ( 38-42 )|91|1|1|0.989010989010989|0.989010989010989
13183 - S ( 34-38 )|42|1|1|0.976190476190476|0.976190476190476
13183 - XL (46-50 )|49|1|1|0.979591836734694|0.979591836734694
13183 - XS ( 30-34 )|17|1|1|0.941176470588235|0.941176470588235
13185 - L|25|1|1|0.96|0.96
13185 - M|35|1|1|0.971428571428571|0.971428571428571
13185 - S|13|1|1|0.923076923076923|0.923076923076923
13185 - XL|10|1|1|0.9|0.9
13189 - M ( 140-152 )|12|1|1|0.916666666666667|0.916666666666667
13189 - S ( 128-140 )|8|1|1|0.875|0.875
13189 - XL ( 158-170 )|9|1|1|0.888888888888889|0.888888888888889
13195 - 128|54|1|1|0.981481481481482|0.981481481481482
13195 - 140|60|1|1|0.983333333333333|0.983333333333333
13195 - 152|92|1|1|0.989130434782609|0.989130434782609
13195 - 164|96|3|123|0.96875|-0.28125
13195 - 176|78|1|1|0.987179487179487|0.987179487179487
13198 - L|38|1|1|0.973684210526316|0.973684210526316
13198 - M|57|1|1|0.982456140350877|0.982456140350877
13198 - S|15|1|1|0.933333333333333|0.933333333333333
13198 - XL|14|1|1|0.928571428571429|0.928571428571429
13199 - 40,5|4|1|1|0.75|0.75
13203 - L ( 152-158 )|7|1|1|0.857142857142857|0.857142857142857
13224 - M|18|1|1|0.944444444444444|0.944444444444444
13226 - 42|12|1|1|0.916666666666667|0.916666666666667
13226 - 42,5|10|1|1|0.9|0.9
13226 - 43|12|1|1|0.916666666666667|0.916666666666667
13226 - 46|4|1|1|0.75|0.75
13233 - L|6|1|1|0.833333333333333|0.833333333333333
13233 - XL|4|1|1|0.75|0.75
13235 - 44,5|8|1|1|0.875|0.875
13238 - L|8|1|1|0.875|0.875
13238 - M|11|1|1|0.909090909090909|0.909090909090909
13238 - S|11|1|1|0.909090909090909|0.909090909090909
13242 - L|26|1|1|0.961538461538462|0.961538461538462
13242 - M|44|1|1|0.977272727272727|0.977272727272727
13242 - S|17|1|1|0.941176470588235|0.941176470588235
13242 - XL|11|1|1|0.909090909090909|0.909090909090909
13252 - 41|4|1|1|0.75|0.75
13252 - 44|6|1|1|0.833333333333333|0.833333333333333
13252 - 45|6|1|1|0.833333333333333|0.833333333333333
13252 - 46|6|1|1|0.833333333333333|0.833333333333333
13262 - M|9|1|1|0.888888888888889|0.888888888888889
13262 - S|7|1|1|0.857142857142857|0.857142857142857
13262 - XL|6|1|1|0.833333333333333|0.833333333333333
13265 - XL ( 158-170 )|4|1|1|0.75|0.75
13269 - 41 - 44|10|1|1|0.9|0.9
13269 - 45 - 47|6|1|1|0.833333333333333|0.833333333333333
13279 - M|14|1|1|0.928571428571429|0.928571428571429
13284 - 2XL|22|1|1|0.954545454545455|0.954545454545455
13284 - L|102|13|3|0.872549019607843|0.970588235294118
13284 - M|98|3|1|0.969387755102041|0.989795918367347
13284 - XL|60|1|1|0.983333333333333|0.983333333333333
13288 - L|13|1|1|0.923076923076923|0.923076923076923
13288 - M|15|1|1|0.933333333333333|0.933333333333333
13288 - XL|9|1|1|0.888888888888889|0.888888888888889
13301 - L|13|1|1|0.923076923076923|0.923076923076923
13301 - M|10|1|1|0.9|0.9
13313 - L|10|1|1|0.9|0.9
13313 - M|21|1|1|0.952380952380952|0.952380952380952
13316 - 40,5|8|1|1|0.875|0.875
13316 - 42,5|9|1|1|0.888888888888889|0.888888888888889
13316 - 43|13|1|1|0.923076923076923|0.923076923076923
13316 - 45|5|1|1|0.8|0.8
13320 - 42,5|8|2|3|0.75|0.625
13320 - 43|13|2|2|0.846153846153846|0.846153846153846
13320 - 44|11|2|2|0.818181818181818|0.818181818181818
13320 - 45|7|2|3|0.714285714285714|0.571428571428571
13327 - XL|4|1|1|0.75|0.75
13336 - 38,5|5|1|1|0.8|0.8
13339 - L|21|1|1|0.952380952380952|0.952380952380952
13339 - M|23|1|1|0.956521739130435|0.956521739130435
13339 - S|10|1|1|0.9|0.9
13339 - XL|9|1|1|0.888888888888889|0.888888888888889
13342 - L|41|1|1|0.975609756097561|0.975609756097561
13342 - M|34|1|1|0.970588235294118|0.970588235294118
13342 - S|37|1|1|0.972972972972973|0.972972972972973
13343 - L|7|1|1|0.857142857142857|0.857142857142857
13343 - M|5|1|1|0.8|0.8
13343 - XL|4|1|1|0.75|0.75
13347 - 2 ( 35-38 )|6|1|1|0.833333333333333|0.833333333333333
13347 - 4 ( 43-46 )|29|1|1|0.96551724137931|0.96551724137931
13356 - 43 1/3|4|1|1|0.75|0.75
13362 - 42|6|1|1|0.833333333333333|0.833333333333333
13362 - 45 1/3|6|1|1|0.833333333333333|0.833333333333333
13371 - 140/152|38|1|1|0.973684210526316|0.973684210526316
13371 - 164/176|64|1|1|0.984375|0.984375
13372 - L|17|1|1|0.941176470588235|0.941176470588235
13372 - M|17|1|1|0.941176470588235|0.941176470588235
13374 - L|7|1|1|0.857142857142857|0.857142857142857
13374 - M|6|1|1|0.833333333333333|0.833333333333333
13375 - L|13|1|1|0.923076923076923|0.923076923076923
13375 - S|4|1|1|0.75|0.75
13377 - 43|5|1|1|0.8|0.8
13381 - 2XL|12|1|1|0.916666666666667|0.916666666666667
13381 - L|35|1|1|0.971428571428571|0.971428571428571
13381 - M|47|1|1|0.978723404255319|0.978723404255319
13381 - S|29|1|1|0.96551724137931|0.96551724137931
13381 - XL|24|1|1|0.958333333333333|0.958333333333333
13394 - M|8|1|1|0.875|0.875
13401 - 2XL|4|1|1|0.75|0.75
13401 - L|19|1|1|0.947368421052632|0.947368421052632
13401 - M|19|1|1|0.947368421052632|0.947368421052632
13401 - S|7|1|1|0.857142857142857|0.857142857142857
13401 - XL|10|1|1|0.9|0.9
13404 - 2XL|5|1|1|0.8|0.8
13404 - L|42|1|1|0.976190476190476|0.976190476190476
13404 - M|49|1|1|0.979591836734694|0.979591836734694
13404 - S|25|1|1|0.96|0.96
13404 - XL|21|1|1|0.952380952380952|0.952380952380952
13410 - 42|6|1|1|0.833333333333333|0.833333333333333
13410 - 44,5|6|1|1|0.833333333333333|0.833333333333333
13418 - L ( 152-158 )|9|1|1|0.888888888888889|0.888888888888889
13418 - XL ( 158-170 )|20|1|1|0.95|0.95
13421 - L|10|1|1|0.9|0.9
13421 - S|4|1|1|0.75|0.75
13428 - 40|4|1|1|0.75|0.75
13428 - 41|8|1|1|0.875|0.875
13428 - 42,5|5|1|1|0.8|0.8
13428 - 43|8|1|1|0.875|0.875
13428 - 44|8|1|1|0.875|0.875
13428 - 44,5|5|1|1|0.8|0.8
13428 - 45|5|1|1|0.8|0.8
13428 - 46|6|1|1|0.833333333333333|0.833333333333333
13428 - 47|7|1|1|0.857142857142857|0.857142857142857
13430 - 42|7|1|3|0.857142857142857|0.571428571428571
13430 - 42,5|9|1|1|0.888888888888889|0.888888888888889
13430 - 43|12|1|1|0.916666666666667|0.916666666666667
13430 - 44|12|1|1|0.916666666666667|0.916666666666667
13430 - 44,5|12|1|1|0.916666666666667|0.916666666666667
13437 - M|11|1|1|0.909090909090909|0.909090909090909
13441 - 2XL|11|1|1|0.909090909090909|0.909090909090909
13441 - L|30|1|1|0.966666666666667|0.966666666666667
13441 - M|19|1|65|0.947368421052632|-2.42105263157895
13441 - S|10|1|1|0.9|0.9
13441 - XL|23|1|1|0.956521739130435|0.956521739130435
13452 - 42|5|1|1|0.8|0.8
13452 - 43 1/3|6|1|1|0.833333333333333|0.833333333333333
13452 - 44 2/3|9|1|1|0.888888888888889|0.888888888888889
13452 - 45 1/3|6|1|1|0.833333333333333|0.833333333333333
13452 - 46 2/3|4|1|1|0.75|0.75
13455 - 41|18|1|1|0.944444444444444|0.944444444444444
13455 - 42,5|41|1|1|0.975609756097561|0.975609756097561
13455 - 44|49|1|1|0.979591836734694|0.979591836734694
13455 - 45|42|1|1|0.976190476190476|0.976190476190476
13455 - 46|19|1|1|0.947368421052632|0.947368421052632
13458 - 140|7|1|1|0.857142857142857|0.857142857142857
13458 - 152|9|1|1|0.888888888888889|0.888888888888889
13458 - 164|10|1|1|0.9|0.9
13463 - M|4|1|1|0.75|0.75
13474 - L|26|1|1|0.961538461538462|0.961538461538462
13474 - M|46|1|1|0.978260869565217|0.978260869565217
13474 - S|29|1|1|0.96551724137931|0.96551724137931
13474 - XL|5|1|1|0.8|0.8
13477 - 44,5|4|1|1|0.75|0.75
13483 - S|5|1|1|0.8|0.8
13484 - M|5|1|1|0.8|0.8
13485 - 1 ( 34-36 )|9|1|1|0.888888888888889|0.888888888888889
13485 - 2 ( 37-39 )|29|1|1|0.96551724137931|0.96551724137931
13485 - 3 ( 40-42 )|60|1|1|0.983333333333333|0.983333333333333
13485 - 4 ( 43-45 )|84|1|1|0.988095238095238|0.988095238095238
13485 - 5 ( 46-48 )|35|1|1|0.971428571428571|0.971428571428571
13497 - XL ( 158-170 )|5|1|1|0.8|0.8
13500 - 140|10|1|1|0.9|0.9
13500 - 152|26|1|1|0.961538461538462|0.961538461538462
13500 - 164|32|1|1|0.96875|0.96875
13508 - 2XL|17|1|1|0.941176470588235|0.941176470588235
13508 - L|49|1|1|0.979591836734694|0.979591836734694
13508 - M|41|1|1|0.975609756097561|0.975609756097561
13508 - S|12|1|1|0.916666666666667|0.916666666666667
13508 - XL|33|1|1|0.96969696969697|0.96969696969697
13514 - 35/38|10|1|1|0.9|0.9
13514 - 39/42|13|1|1|0.923076923076923|0.923076923076923
13514 - 43/46|8|1|1|0.875|0.875
13522 - 44 2/3|7|1|1|0.857142857142857|0.857142857142857
13524 - 6 ( 47-50 )|4|1|1|0.75|0.75
13525 - 164|22|1|1|0.954545454545455|0.954545454545455
13532 - L|37|1|1|0.972972972972973|0.972972972972973
13532 - M|39|1|1|0.974358974358974|0.974358974358974
13532 - S|13|1|1|0.923076923076923|0.923076923076923
13532 - XL|20|1|1|0.95|0.95
13534 - 1 ( Junior)|10|1|1|0.9|0.9
13534 - 2 ( Senior )|8|1|1|0.875|0.875
13535 - 42,5|5|1|1|0.8|0.8
13535 - 44|4|1|1|0.75|0.75
13535 - 45|6|1|1|0.833333333333333|0.833333333333333
13544 - L ( 152-158 )|20|1|1|0.95|0.95
13553 - L|9|1|1|0.888888888888889|0.888888888888889
13553 - M|10|1|1|0.9|0.9
13553 - S|9|1|1|0.888888888888889|0.888888888888889
13567 - 42,5|5|2|3|0.6|0.4
13567 - 43|9|2|1|0.777777777777778|0.888888888888889
13567 - 44|9|2|1|0.777777777777778|0.888888888888889
13567 - 44,5|10|2|1|0.8|0.9
13567 - 45|5|2|1|0.6|0.8
13567 - 45,5|9|2|1|0.777777777777778|0.888888888888889
13567 - 46|5|2|1|0.6|0.8
13567 - 47,5|4|9|3|-1.25|0.25
13572 - 40,5|6|1|1|0.833333333333333|0.833333333333333
13582 - L ( 152-158 )|20|1|1|0.95|0.95
13582 - M ( 140-152 )|19|1|1|0.947368421052632|0.947368421052632
13582 - XL ( 158-170 )|7|1|1|0.857142857142857|0.857142857142857
13584 - 42|4|3|3|0.25|0.25
13584 - 42,5|7|3|3|0.571428571428571|0.571428571428571
13584 - 43|4|3|3|0.25|0.25
13584 - 44|11|3|3|0.727272727272727|0.727272727272727
13584 - 44,5|10|3|3|0.7|0.7
13584 - 45|9|3|3|0.666666666666667|0.666666666666667
13584 - 45,5|9|3|3|0.666666666666667|0.666666666666667
13584 - 46|8|3|3|0.625|0.625
13585 - M|11|1|1|0.909090909090909|0.909090909090909
13587 - L|10|1|1|0.9|0.9
13607 - 40|4|1|1|0.75|0.75
13607 - 40,5|6|1|1|0.833333333333333|0.833333333333333
13607 - 41|5|1|1|0.8|0.8
13607 - 42|5|1|1|0.8|0.8
13607 - 42,5|5|1|1|0.8|0.8
13607 - 43|6|1|1|0.833333333333333|0.833333333333333
13607 - 44|6|1|1|0.833333333333333|0.833333333333333
13607 - 45|5|1|1|0.8|0.8
13607 - 45,5|8|1|1|0.875|0.875
13609 - M|4|1|1|0.75|0.75
13612 - 40,5|7|3|5|0.571428571428571|0.285714285714286
13612 - 41|19|3|5|0.842105263157895|0.736842105263158
13612 - 42|20|3|5|0.85|0.75
13612 - 42,5|32|3|5|0.90625|0.84375
13612 - 43|39|3|5|0.923076923076923|0.871794871794872
13612 - 44|27|3|3|0.888888888888889|0.888888888888889
13612 - 44,5|27|3|9|0.888888888888889|0.666666666666667
13612 - 45|29|3|5|0.896551724137931|0.827586206896552
13612 - 45,5|15|3|5|0.8|0.666666666666667
13612 - 47|9|3|5|0.666666666666667|0.444444444444444
13618 - 43 1/3|6|3|3|0.5|0.5
13618 - 44|5|3|2|0.4|0.6
13628 - L/XL ( 39-47 )|5|1|1|0.8|0.8
13642 - 2XL|6|1|1|0.833333333333333|0.833333333333333
13642 - M|10|1|1|0.9|0.9
13648 - 38,5|6|1|1|0.833333333333333|0.833333333333333
13655 - 42 2/3|4|1|1|0.75|0.75
13655 - 44|8|1|1|0.875|0.875
13671 - L|12|1|1|0.916666666666667|0.916666666666667
13671 - M|11|1|1|0.909090909090909|0.909090909090909
13671 - XL|8|1|1|0.875|0.875
13675 - L ( 152-158 )|8|1|1|0.875|0.875
13675 - XL ( 158-170 )|17|1|1|0.941176470588235|0.941176470588235
13676 - L|18|1|1|0.944444444444444|0.944444444444444
13676 - M|22|1|1|0.954545454545455|0.954545454545455
13676 - S|13|1|1|0.923076923076923|0.923076923076923
13676 - XL|10|1|1|0.9|0.9
